PID,SyscallID,Syscall,RDI,RSI,RDX,R10,R8,R9
1692,9,mmap,2880978944,8192,3,2066,3,49152
1692,3,close,3,0,0,1414040932,3221225474,32
1692,257,openat,4294967196,2881805120,524288,0,524288,2881805120
1692,0,read,3,511738072,832,0,524288,2881805120
1692,262,newfstatat,3,2892687853,511737728,4096,2881805120,2888377456
1692,9,mmap,0,24592,1,2050,3,0
1692,9,mmap,2880905216,8192,5,2066,3,8192
1692,9,mmap,2880913408,4096,1,2066,3,16384
1692,9,mmap,2880917504,8192,3,2066,3,16384
1692,3,close,3,0,0,1414069604,3221225474,32
1692,257,openat,4294967196,2881806432,524288,0,524288,2881806432
1692,0,read,3,511738040,832,0,524288,2881806432
1692,262,newfstatat,3,2892687853,511737696,4096,2881806432,2888377456
1692,9,mmap,0,109184,1,2050,3,0
1692,10,mprotect,2880802816,77824,0,1,3,0
1692,9,mmap,2880802816,61440,5,2066,3,16384
1692,9,mmap,2880864256,12288,1,2066,3,77824
1692,9,mmap,2880880640,8192,3,2066,3,90112
1692,9,mmap,2880888832,6784,3,50,4294967295,0
1692,3,close,3,4,1,1414180196,3221258242,48
1692,257,openat,4294967196,2881808000,524288,0,524288,2881808000
1692,0,read,3,511738008,832,0,524288,2881808000
1692,262,newfstatat,3,2892687853,511737664,4096,2881808000,2886575376
1692,9,mmap,0,192112,1,2050,3,0
1692,10,mprotect,2880622592,155648,0,1,3,0
1692,9,mmap,2880622592,114688,5,2066,3,28672
1692,9,mmap,2880737280,36864,1,2066,3,143360
1692,9,mmap,2880778240,8192,3,2066,3,180224
1692,3,close,3,0,0,1414372708,3221225474,32
1692,257,openat,4294967196,2881809856,524288,0,524288,2881809856
1692,0,read,3,511737976,832,0,524288,2881809856
1692,262,newfstatat,3,2892687853,511737632,4096,2881809856,2884199552
1692,9,mmap,0,8192,3,34,4294967295,0
1692,9,mmap,0,160208,1,2050,3,0
1692,10,mprotect,2880442368,135168,0,1,3,0
1692,9,mmap,2880442368,90112,5,2066,3,20480
1692,9,mmap,2880532480,40960,1,2066,3,110592
1692,9,mmap,2880577536,8192,3,2066,3,151552
1692,3,close,3,0,0,1414544740,3221225474,32
1692,9,mmap,0,8192,3,34,4294967295,0
1692,9,mmap,0,12288,3,34,4294967295,0
1692,158,arch_prctl,4098,2880403712,1414561008,34,2880403712,0
1692,10,mprotect,2886512640,12288,1,2886574080,2886144832,0
1692,10,mprotect,2880577536,4096,1,2880585728,0,2885711440
1692,10,mprotect,2884390912,4096,1,2886578064,2884302176,2884839344
1692,10,mprotect,2886602752,4096,1,2888378768,0,2885198272
1692,10,mprotect,2884268032,4096,1,2886579456,2884251664,2884839344
1692,10,mprotect,2880978944,4096,1,2881803744,2880936464,2886530976
1692,10,mprotect,2881171456,4096,1,2881802432,2881002152,2886530976
1692,10,mprotect,2880917504,4096,1,2881805168,0,2885765568
1692,10,mprotect,2880880640,4096,1,2881806480,2880802032,2884839344
1692,10,mprotect,2887430144,57344,1,2888377456,2886742592,2887465952
1692,10,mprotect,2887823360,8192,1,2888376144,2887540776,2886530976
1692,10,mprotect,2880778240,4096,1,2881808048,0,2885711440
1692,10,mprotect,2881794048,4096,1,2884201264,2881191520,2884839344
1692,10,mprotect,2882969600,8192,1,2884199552,0,2884790432
1692,10,mprotect,2883039232,4096,1,2884198240,0,2885764816
1692,10,mprotect,2883170304,4096,1,2884196928,2883055232,2884839344
1692,10,mprotect,2884009984,4096,1,2884195616,0,2885765568
1692,10,mprotect,2884186112,4096,1,2884194304,2884028400,2884839344
1692,10,mprotect,2884239360,4096,1,2886580848,2884211552,2884839344
1692,10,mprotect,2884440064,4096,1,2886576752,2884420144,2884839344
1692,10,mprotect,2884542464,4096,1,2886575376,2884463712,2886530976
1692,10,mprotect,2888003584,4096,1,2888374832,0,2885711440
1692,10,mprotect,2888216576,4096,1,2888373520,0,2884839344
1692,10,mprotect,2888364032,4096,1,2888372224,2888265528,2884839344
1692,10,mprotect,2888392704,4096,1,2892462496,2888384328,2884839344
1692,10,mprotect,2891182080,180224,1,2892461184,0,2885077264
1692,10,mprotect,2892111872,12288,1,2892459872,0,2885711440
1692,10,mprotect,2892333056,4096,1,2892457248,0,2885711440
1692,10,mprotect,2892197888,4096,1,2892458560,2892141360,2884839344
1692,10,mprotect,2892447744,4096,1,2892455936,2892416896,2884839344
1692,10,mprotect,774590464,12288,1,2892735008,0,2885767392
1692,10,mprotect,2892722176,8192,1,2892733000,0,0
1692,11,munmap,2892464128,52878,4294966792,4294966475,0,11
1692,218,set_tid_address,2880404432,511742472,2880403712,4294966475,0,11
1692,273,set_robust_list,2880404448,24,2880403712,4294966475,0,11
1692,13,rt_sigaction,32,511741776,0,8,0,11
1692,13,rt_sigaction,33,511741776,0,8,0,0
1692,14,rt_sigprocmask,1,511742152,0,8,0,0
1692,302,prlimit64,0,3,0,511742128,0,0
1692,12,brk,0,135168,0,688,2,0
1692,12,brk,781717504,135168,2886542784,688,2,0
1692,157,prctl,23,32,0,2883042536,0,0
1692,157,prctl,23,48,0,0,0,0
1692,157,prctl,23,40,0,0,0,0
1692,157,prctl,23,44,0,0,0,0
1692,157,prctl,23,42,0,0,0,0
1692,157,prctl,23,41,0,0,0,0
1692,137,statfs,2887972931,511742080,2888012196,4294964092,2886539320,0
1692,137,statfs,2887972938,511742080,2888012196,4294964092,2886539320,0
1692,257,openat,4294967196,2887972903,524288,0,8,1
1692,262,newfstatat,3,2886311126,511741760,4096,0,781583536
1692,0,read,3,781583664,1024,119,3,781583664
1692,0,read,3,781583664,1024,119,3,781583664
1692,3,close,3,0,2886531232,119,32768,781583664
1692,21,access,2887972971,0,28,119,781583056,781583664
1692,107,geteuid,0,1,781584880,1338768383,781585680,781585680
1692,116,setgroups,0,0,2885198159,1338768383,2892734560,2892734560
1692,257,openat,4294967196,774328729,2,0,0,2892734560
1692,3,close,3,1,2,0,0,2892734560
866,0,read,23,1887308992,272,4294967295,0,1887309344
866,0,read,23,1887308992,272,4294967295,0,1887309344
866,232,epoll_wait,3,1887308912,32,4294967295,0,1887309344
1692,202,futex,2891380576,129,2147483647,0,781585712,781585712
1692,202,futex,2891380572,129,2147483647,0,0,1
1692,202,futex,2891380568,129,2147483647,0,202,1
1692,202,futex,2891380944,129,2147483647,0,781586112,781586112
1692,202,futex,2891380560,129,2147483647,0,781586112,0
1692,202,futex,2891380556,129,2147483647,0,781586112,0
1692,202,futex,2891380144,129,2147483647,0,781602512,781602512
1692,202,futex,2891380896,129,2147483647,0,781602784,781602784
1692,202,futex,2891369448,129,2147483647,0,2884395840,1
1692,202,futex,2891379968,129,2147483647,0,781585968,781603632
1692,202,futex,2891380564,129,2147483647,0,781603568,0
1692,202,futex,2891380540,129,2147483647,0,781603568,1
1692,202,futex,2891380536,129,2147483647,0,781602944,0
1692,257,openat,4294967196,781700256,0,0,8,1
1692,262,newfstatat,3,2886311126,511739904,4096,1,0
1692,0,read,3,781701968,4096,119,3,781701968
1692,0,read,3,781701968,4096,32,3,0
1692,12,brk,781852672,135168,48,64,781701273,781701273
1692,0,read,3,781701968,4096,32,3,0
1692,0,read,3,781701968,4096,32,3,0
1692,3,close,3,0,2886531232,32,0,0
1692,202,futex,2891380552,129,2147483647,0,781700752,2304
1692,202,futex,2891381176,129,2147483647,0,781712256,1
1692,39,getpid,781702064,0,781702400,781706064,781702064,781702064
1692,318,getrandom,781708128,32,0,0,781708160,318
1692,39,getpid,781713456,0,48,0,781713456,318
1692,228,clock_gettime,0,511740656,4294967295,513220736,781713456,318
1692,202,futex,2891381188,129,2147483647,0,781713456,4294967295
1692,39,getpid,511742112,48,1,0,781714432,0
1692,39,getpid,781702976,0,781703296,781706064,781702976,781702976
1692,39,getpid,781702064,781713456,48,0,511740680,8
1692,39,getpid,781713456,0,48,0,781713456,4294967295
1692,39,getpid,781702976,511740912,40,0,781713456,24
1692,39,getpid,6,0,0,4252307658,3103319160,1411687332
1692,257,openat,4294967196,511736896,591872,0,591872,511736896
1692,262,newfstatat,3,2886311126,511736688,4096,591872,511736896
1692,217,getdents64,3,781723072,32768,2886529536,48,781723024
1692,217,getdents64,3,781723072,32768,2886208192,240,0
1692,3,close,3,0,96832,2886208192,0,0
1692,0,read,5,511740916,4,774395930,781706816,781706816
1692,0,read,5,781715504,346,774395930,0,781706816
1692,32,dup,4,774328525,511740752,774328525,781722864,781708528
1692,3,close,4,774328525,511740752,774328525,781722864,781708528
1692,1,write,3,774343788,1,774328525,781722864,781708528
539,0,read,6,2599640155,1,0,0,0
539,270,pselect6,7,628287744,0,0,0,0
1692,102,getuid,774513256,774331082,2886206656,774514331,0,0
1692,102,getuid,774513292,774331082,2886206656,781720000,0,781722944
1692,102,getuid,774513320,774331082,2886206656,0,0,774606912
1692,257,openat,4294967196,2886317522,524288,0,524288,2886317522
1692,262,newfstatat,4,2886311126,511738992,4096,524288,2886317522
1692,262,newfstatat,4,2886311126,511738464,4096,0,2886317522
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
1692,0,read,4,781723024,4096,119,4,781723024
1692,0,read,4,781723024,4096,119,4,781723024
1692,3,close,4,0,2886531232,119,32768,781723024
1692,202,futex,2886542692,129,2147483647,0,781583056,781723024
1692,41,socket,16,524291,0,0,781583056,781723024
1692,49,bind,4,511738984,12,16,781583056,781723024
1692,51,getsockname,4,511738984,511738980,16,781583056,781723024
1692,44,sendto,4,511739088,20,0,511738996,12
1692,47,recvmsg,4,511739024,0,0,511738996,12
1692,47,recvmsg,4,511739024,0,511734856,0,2
1692,47,recvmsg,4,511739024,0,511734852,0,10
1692,41,socket,1,526337,0,511734852,1,10
1692,42,connect,6,511734048,110,511734852,1,511733968
1692,3,close,6,511734048,4294966784,511734852,1,511733968
1692,3,close,4,511734048,4294966784,511734852,1,511733968
1692,41,socket,10,524290,0,0,0,23
1692,42,connect,4,781720112,28,0,0,23
1692,51,getsockname,4,511739192,511739472,0,0,23
1692,42,connect,4,511739536,16,0,0,0
